parallax,phot_g_mean_mag,bp_rp
83.66062193439063,8.636086,1.9813232
83.6539942300634,16.781408,4.6118927
83.50380208181748,13.36711,3.4734402
83.49395957331558,11.543919,2.8354158
83.4631594994889,13.4358,3.5190353
83.3999781450608,10.505624,2.7666206
83.37884709560089,9.601197,2.4594316
83.24973178967333,12.407915,3.1854277
83.19347753572258,3.4332993,0.59854627
83.14400588522535,11.153768,2.8249435
83.06866367689253,10.420489,2.618967
83.06064664354982,5.0796084,0.7856765
83.02397018243857,5.344616,0.8345952
82.98044152775957,13.950101,3.8033876
82.90278034597667,12.211264,3.003995
82.8902722674978,9.828687,2.255149
82.86994368147813,4.7439675,0.736691
82.67729471781536,11.286115,2.7099705
82.66062029486508,13.015211,3.2454767
82.46035173961869,13.25048,3.332057
82.35604225801755,15.074403,4.683484
82.31042963149854,9.814525,2.2717915
82.20799300166873,6.168385,0.97665834
82.19379738137908,11.399355,2.6033182
82.09205385526184,11.778023,2.826579
82.03930970465137,12.802547,3.2432356
82.00054600006021,13.204992,3.5651808
81.73942443475299,10.346038,2.4241104
81.73879260239123,13.079426,3.419506
81.61040202560517,12.777951,3.1156712
81.57206255154,13.935161,3.861762
81.57031791622742,10.742186,2.8233118
81.50828167584473,14.239208,0.42713737
81.4987133119068,5.9909477,1.0098224
81.46439142947709,8.918802,2.0627398
81.37306875080597,13.745982,3.7367783
81.36212634258685,11.359969,2.7699795
81.27838265830503,10.575351,2.236496
81.22261378370459,11.510122,2.793498
81.20240265110372,10.43589,2.4385834
81.19892749105797,12.250948,3.0696316
81.17903537377352,5.5958757,0.92901754
81.13615977267115,11.622757,2.8664522
81.02792076812638,8.24046,1.6896243
81.02373382378475,12.699531,3.0965118
81.02054108827717,9.049827,2.0853271
81.01134738676308,8.643511,1.9313221
80.84072827903502,13.209166,3.458459
80.78778141194462,11.9678,2.815812
80.73788287850039,11.310232,2.8296947
80.56233030288816,10.714013,2.7232838
80.48541193436336,2.784391,0.62880015
80.477557931406,12.004508,2.9750547
80.41443827427436,11.327122,2.8217735
80.39596371946803,13.919268,3.6597376
80.34366954677688,12.447152,3.0330706
80.33526045489403,11.322462,2.5610323
80.25741014512566,13.508811,3.5725708
80.20475279430592,12.900693,3.2290163
80.18352733038917,10.66505,2.5622377
80.11338272909568,11.412538,2.7263813
80.10420284070563,12.17612,2.902936
80.09774077949538,12.212433,2.8889027
80.0552080771202,12.960607,3.1271296
80.05476146505663,14.148209,3.9244032
80.02408310271876,10.885994,2.3867188
80.02112246350178,11.549987,2.6852617
79.93312282593712,14.137705,3.974844
79.92625234127838,12.949484,3.5145855
79.85415424681045,11.018903,2.4597673
79.83897482577075,12.619689,2.9447193
79.65602364629241,11.682962,2.9854937
79.6021083335795,4.5258846,0.79079056
79.49527095617434,5.7552195,0.93622494
79.45324543622554,13.1844845,3.3290071
79.44818375718161,5.732681,1.0086718
79.41600376168633,11.301491,2.8300571
79.3205781473538,12.129068,2.8381195
79.24319645098669,12.744349,0.49288273
79.22500812457939,12.531262,2.7566042
79.1638592251515,12.687793,3.5020008
79.03866584361127,13.332204,3.4657412
78.89651468253375,10.055212,2.3743181
78.89223586679518,10.486478,2.5008335
78.87621795397256,13.217788,3.53014
78.64649917102172,7.0766416,1.3455868
78.61123864207802,12.884933,3.050313
78.57484210850646,10.719594,2.6604671
78.56126536818486,13.652472,3.6797066
78.50619390001147,10.92762,2.6708117
78.48142288055584,10.58782,2.5136518
78.45757797117655,11.409176,2.679062
78.39434439409031,13.122404,3.3328705
78.33591471044681,5.3550773,0.9255285
78.29245175702427,11.337926,2.7193089
78.26205621502966,9.212255,2.0833416
78.22675647892444,7.394229,1.3137927
78.19452225007079,6.885495,1.2108593
78.17469220601129,6.2235785,0.95549154
78.17457842220993,9.275512,2.1506634
78.1626317485545,10.324608,2.34797
78.11681298603918,9.404842,2.2225666
78.07756583779148,10.946427,2.59346
77.9620893523483,12.013836,2.8662004
77.940666734059,12.439863,3.0271683
77.91401913043707,6.147864,0.9205227
77.89556062742207,12.576009,3.0830355
77.86519596336532,11.632201,2.6494503
77.7939753829574,10.34347,2.3257723
77.7699306076477,13.560653,3.4343338
77.73520905912606,12.652918,3.0497704
77.72523050821127,14.711539,4.2379675
77.69580022013473,12.379461,2.9919224
77.66955060572354,13.245591,-0.022785187
77.6317258540173,11.876849,3.0491724
77.56546482061312,5.215097,0.8076582
77.5357015014493,12.255983,2.9429045
77.49871406895507,14.718879,4.619048
77.48365141379048,12.798845,3.1277456
77.47651875907843,12.392412,3.0085049
77.45445300678792,11.0004,-0.34853935
77.44122245908348,9.108179,1.8277683
77.44021949599501,10.830593,2.625739
77.43372549930679,13.879499,3.7638702
77.40723328560824,8.08446,1.6509027
77.39443685046375,13.050017,3.0116014
77.35287594638186,14.896561,0.87302494
77.34986706396188,7.242388,1.3723569
77.3261340611626,6.857923,1.1664023
77.27825146109552,13.332698,3.483676
77.24853141451939,4.673892,0.700737
77.13592907940472,10.259625,2.6968231
77.083787648867,13.475401,3.43812
77.03461200556988,9.542259,2.1089478
76.9371853120815,10.549882,2.4790888
76.78255940783944,11.102701,2.535839
76.74052986202392,5.6792855,0.8573408
76.66379283678688,7.2427826,1.3524966
76.65460424054565,15.0062065,0.71536446
76.6428728546335,11.333783,2.7749767
76.61307341130882,13.848975,3.664978
76.53609815528525,11.275215,2.9710379
76.4642528694196,15.280079,4.672841
76.3854067571206,11.735672,2.8901558
76.35291692339615,11.868173,2.9054203
76.30705689396355,12.146331,2.996233
76.29118871961205,10.845914,2.8938427
76.28062631975945,12.287489,2.9994144
76.26153097614906,9.132237,2.0160007
76.19182572554183,10.18051,2.3933973
76.16439069467395,9.242064,2.0203352
76.15946505307657,8.409995,1.6635175
76.11009992405228,10.803841,2.5767298
76.09836402501706,10.342992,2.3145323
76.05090443513484,11.872169,3.3910236
76.0136390127306,12.163774,2.8181753
75.9486036051012,9.068258,1.9554386
75.88558947033205,10.8970585,2.4543352
75.87835660438864,10.185965,2.5291157
75.84760043520981,6.5646515,1.0611329
75.7208110106814,9.801348,2.225915
75.7122251862617,7.846925,1.5732594
75.68695566452061,7.53582,1.3824153
75.67076035002678,14.423405,4.0160265
75.66627620353817,11.684068,2.8720741
75.61589004812846,10.822543,2.4060125
75.60402860165894,12.455414,3.2712803
75.59502148132108,12.317758,3.0701094
75.587670827904,14.896256,4.39021
75.57228251850972,9.144559,2.1252546
75.56887569382528,6.918849,1.2133923
75.52889944115644,5.318377,0.81800747
75.5089282840293,11.373799,2.584669
75.49373642479408,11.465005,2.685319
75.48029395151548,11.540056,2.80295
75.34643540852386,11.759607,2.8731775
75.32479342121945,7.41959,1.3870263
75.29409426657962,9.601218,2.1807442
75.25482099805123,11.132852,2.3103027
75.19475017006016,16.157278,1.1109543
74.98865311008939,14.368261,3.9877853
74.95210975717671,9.315714,2.1295252
74.94562437295559,15.262044,1.0447035
74.8961142038147,12.201372,2.9688702
74.88387307220047,11.136029,2.6917381
74.86337055869903,12.451043,3.1264505
74.79854599794672,9.407465,2.0776463
74.79177425095429,10.241307,2.3631458
74.77675675400957,11.819618,2.756606
74.71074932475356,10.900908,2.7100573
74.71020217629189,12.277165,3.0518122
74.63845724853431,11.742346,2.9098177
74.58454496592636,12.1573925,2.346939
74.57353168617364,10.787389,2.6763525
74.4553628583603,11.984518,2.810442
74.42176458851837,11.032926,2.7791576
74.41435177741494,11.516895,2.5959349
74.38801212980484,9.807261,2.2425766
74.38552746556688,11.800824,2.7466087
74.23803517451385,9.934185,2.4209232
74.22008018316177,13.014442,3.2205
74.20506525451665,12.086062,2.9930649
74.20466310328092,10.820291,2.6243963
74.19396780666189,3.966133,0.72292423
74.18394119606009,13.988787,3.6500053
74.18150048920077,12.497144,3.0502195
74.13970520405475,9.412902,2.1047506
74.13952783501048,13.026942,3.231843
74.12734282117357,11.115624,2.6499825
74.12018143378143,7.5811377,1.4291749
74.1187240892331,8.38387,1.772346
74.09367050330306,7.203598,1.3036904
74.06984596438883,12.043524,2.9082975
73.99006093699691,13.37053,3.4274607
73.98991155650216,15.933369,1.3615437
73.97694829807692,7.9328227,1.4927135
73.96916112713724,12.319978,3.031413
73.9230605881877,11.011088,2.51398
73.85725694447376,14.991737,4.2769556
73.82839808283359,3.0717425,0.8285754
73.71779207255106,10.659685,2.4957838
73.70815012974893,10.809602,2.5975285
73.69562923955124,9.414013,2.0081234
73.61877907779785,10.019066,2.2420607
73.59921732853974,15.216914,4.593663
73.57693705785664,10.193903,2.2930775
73.54824313531948,7.2686267,1.0718122
73.52487469097186,3.4819748,1.1103241
73.5198828006504,8.020994,1.6427431
73.51473636696828,12.890886,3.0959911
73.45920425880918,11.695755,2.6062727
73.44179629046599,14.825789,4.295308
73.38892020233298,10.465427,2.5811634
73.3163323529175,10.765228,2.5140495
73.2746639511502,11.622358,2.6642475
73.25728827586713,11.171621,2.5779457
73.23703628604858,3.9992578,0.7051301
